message,label,
"This is an automated notification regarding a critical software update for your system. Please ensure your software is updated to the latest version to maintain security and performance. Regards, Software Updates Team",Urgent,
"Hi Nathan, the Q2 budget approval deadline is TODAY 2024-05-28. Executive team needs your sign-off immediately to avoid project delays. Thanks, Sonia Huynh.",Urgent,
"Emergency board meeting scheduled for 2024-02-02 to address the compliance audit findings. Attendance is mandatory. Regards, Zachary Campbell MD.",Urgent,
"Hi Cynthia, Reminder that our contract renewal deadline is 2024-01-26. All deliverables must be finalized to avoid penalties. Thanks, Elizabeth Ramos.",Urgent,
"Dear William, Major project timeline changes due to resource reallocation. Review new dates below immediately. Sincerely, William Lester MD.",Urgent,
Critical reminder - report submission deadline is 2024-03-31. Late submissions will impact Q1 performance reviews. Thanks.,Urgent,
"Hello Greg, Don't forget - critical stakeholder meeting tomorrow at 10 AM. Your presentation is first. Cheers, Elizabeth Velez.",Urgent,
"Attention! Security breach detected. Emergency meeting on 2024-03-19 at 9 AM. Mandatory attendance for all IT and management. Best regards, Jamie Bennett.",Urgent,
"Dear Michael, Client escalation requires immediate attention. Final report review needed by end of business today to prevent contract issues. Sincerely, Nicholas Harris.",Urgent,
"Hey Tiffany, Executive review of proposal deadline is 2024-02-15. CEO needs your section completed ASAP. Thanks, David Thomas.",Urgent,
"Good morning David, Investor presentation is tomorrow and requires your quarterly financial data NOW. Board meeting cannot proceed without it. Best, Alyssa Ward.",Urgent,
"Dear Cory, CFO needs budget variance report by EOD. Quarterly board review tomorrow morning and your data is critical for approval. Best, Jessica Moore.",Urgent,
"URGENT: Thomas, Client contract expires in 48 hours. Legal needs your signed amendments immediately to prevent service disruption. Best regards, David Williams.",Urgent,
"URGENT: Dear Wesley, Urgent license renewal required - software access will be terminated by 2024-01-10 if not completed. Critical for operations. Sincerely, Joseph Larson.",Urgent,
"Dear Dr. Harrison, URGENT: Need your decision on the surgery by tonight. Doctor says we can't delay any longer. Sincerely, Christopher Thornton.",Urgent,
Please respond as soon as possible regarding the unresolved issue,Urgent,
"Hello Kevin, Your flight leaves in 3 hours! Gate changed to C24. Don't miss it! Kind regards, Michael Shannon.",Urgent,
"Dear Team, CRITICAL: Client threatening to pull $2M contract unless we deliver by Monday. Emergency meeting at 8am tomorrow. Best, Scott Monroe.",Urgent,
"Dear Brian, Fire alarm went off at your apartment building. Firefighters are there now. Are you okay?? Best, Danielle Mathis.",Urgent,
"Dear Project Lead, URGENT: Major bug discovered in production. System going down in 2 hours. Need all developers on emergency call NOW. Thanks, James Gill.",Urgent,
"Hi Marcus, URGENT: Found your wallet at the airport. Flight boards in 30 minutes. I'm at gate B17! Best regards, Gwendolyn Trevino.",Urgent,
"Dear Michelle, Water main burst in your house! Basement is flooding. I called emergency services. Get home now! Sincerely, Billy Smith.",Urgent,
"Hello Amanda, The wedding venue just canceled on us for next month. Need to find alternative TODAY or lose all deposits. Best, William Whitney.",Urgent,
"Dear Team, Board meeting moved to tomorrow at 9am. CEO demands quarterly report be finalized tonight. No extensions possible. Sincerely, Michael Clark.",Urgent,
This needs to be addressed today,Urgent,
