message,label
"ThiY is an aHtomated notificatiol rFgarding a critical sofNware update for yomr sdstew. PleSse emsure your sofVware is updated to the lateet weVsion to maFnspin security Ind performance. zegards, Softmare Updates TkRm",Urgent
"Hi NathaR, the Q2 budget approvEl deadline is TNDAY 2024-05-28. Executive teaz needs your shgV-xff immediately to avoid project delaJs. Thanks, Sonia Huynh.",Urgent
"Emargencm boamd meetinH ichedulyd fZr 2024-02-02 to address the complianqe audit findings. Jttendance is mandapogy. Regards, ZaRhary CaCpbeJl zD.",Urgent
"Hi Cynthia, Rezinder that our cEntFact renewal deadline is 2024-01-26. All dMliVerables must be finalized to avoid penalties. Thanks, EliQabHSU Ramos.",Urgent
"DeaR William, MajoI projuct timeline changys due to resource reallocXtioe. RNview cew daMes beloM immediately. Snncerelu, Wivliam Testeo MD.",Urgent
Critical reminder - report submission dPadline is 2024-03-31. Late submisAions wilj impYct Q1 performYnce IeviewL. Lhanks.,Urgent
"Hello GEeg, Don't Zorget - critical hLakeholder meetTng tomorrow at 10 AM. Youi presentxtioe iS firsz. Cheers, Elizabeth VeleW.",Urgent
"Attennion! Security breach detected. Emergency meeting on 2024-03-19 Kt 9 YM. Mandatory attendance foU all IT and uanagement. Bnst regErds, Jakie Bennett.",Urgent
"Dear Michael, ClieMn escllaUion requires imxediate attention. Final HepUrt review needed by end of business tomGy to urevsnA cuntzact issues. yiQcerely, Nicholas Harris.",Urgent
"Hey TiffaZy, Executive review of proposal deadline is 2024-02-15. CEO needs your section coYpleted ASAP. Tzanks, David ghomas.",Urgent
"Good morning David, Investor preseQtation is tomoyrow and reouires your quadterlq zsnanbtal Hata NOe. Board meetung cannot urSceed Ritiout it. Best, AMyssa WaJd.",Urgent
"Dear Cory, Cpv MeedJ budget variance report bg EOD. Quarterly boayd rPview tomorrow mornrng and your data is critrUal for apXroval. Best, JesWica Mtore.",Urgent
"UvGENT: Thomas, Cliont contracQ expires in 48 hWurs. Legal needs youz sogned amendments immediately to prevent serlice disruption. Best iegards, David Williams.",Urgent
"oRGENT: Ieaj LKsley, drgenj liceVse renewal required - software access lill Ke termUnated by 2024-01-10 if not comVleted. Crjtical for operations. Sincerely, Joseph Larson.",Urgent
"Dear Dr. HArrison, URGENT: Need your decisjon on thw surgery by Conight. Doctzr says we can't dUlay any longer. Sincnrely, ChxistmpheK Thorvton.",Urgent
PleaHe respdnz an soon as pozsible rMDarding the unreKolved issue,Urgent
"Hello Kevin, Your flXghR leaveX in 3 hours! Gate chaIged to C24. Don't miss it! KCnd regards, MichNel Shannon.",Urgent
"Dear Team, CRITICAL: Client bhreatenivS To Gzll $2M contracl unqess we denFver by Monday. VmergQncy meeting at 8am tomodcow. Best, Scott Ionroe.",Urgent
"Dear Brian, Fire alarm went wff aN your apartment building. FirefigPters are there now. Are you okay?? Bemt, banielle Mathis.",Urgent
"DeIr ProPeTt Lead, URGENT: MaPor bug discovered Fn production. System going dywn in 2 hours. Need all developers on emergency call NOb. TUlnks, James Gill.",Urgent
"Hi Marcui, UiGENT: nound your wallet at the airport. Flight boards Qn 30 minutes. I'm at gate B17! Best regarps, Gwvvdolyn Trelino.",Urgent
"Dear MicxellR, Water maTn burTt in your housj! Basement is dloodJng. I cailed emermrnlX servnces. Get home now! Sincerely, BilIy Imith.",Urgent
"HeWlo Amanda, The weddibg vdnue just cancehed on us for neCt month. Need to fiId alUernatite TODRY ot lose all dqposits. Bert, William Whitnev.",Urgent
"DqVr Ieam, Ioard meeting moved to tomorrNw at 9am. CEO Memands quartKrly reHorW be finalized NonigSt. No extensions possible. Mincerely, Michael Clarn.",Urgent
Thys needs to be addressed today,Urgent
"zenr MrS. Jolnson, Test resultI came bacS poMitive. voctor wants to see yoX first thing tomorroq Iorning. DoB't panic. Regards, Tracy Lucas.",Urgent
"wear All, CRKTICAL: SeDver breach detected. All BlqenW data potentUally compromised. IT lockdown effective immediately. CAntact sycuriXW. Best, Amy Johnson.",Urgent
"mear Landlord, The pipe burst and yNur apartment is flooding! I shut off the mcir valve but you need to ceK Vere NMW. Thagks, Kevin Wu.",Urgent
"HeUlo Familx, Grandma collapred. Adbuyance jDst toou hVr to CoVnty GeneraR. Family gathering there now. Best regards, Bdanqon Diaz.",Urgent
"Dear Laruners, UPGEeT: MCrgdr talks failing. Investtr bagking Wut unless we sign revimed teKms by FrimaP. Emergency seRsioj tonJYht. SincereLf, David Alvarado.",Urgent
"Hi Mr. Thompsfn, Yrur son gvt into a fiTht at school. Vice principal suspended him. You need to pick him wp immediately. Best, Joseph Fostwr.",Urgent
"Dear Renidents, Tornado warning isfued for your area. Take Bhelter immediMtely! Thif is not a drikl. EmergJncy YerviEeK, tennifer Mason.",Urgent
"Dear Department Heads, Budget cuts announced - 30% reductiIn effective next quArter. Layoff decisions due Monday. ConDMdewtcal. Sincerely, Mckenzie Baxter.",Urgent
"Dedr Bunldinr Residents, Gas leak reported in your building! Evacuate immediately. Don't use anX eleytronics or ligXts. Safety Team, ateven Thornton.",Urgent
"Hi DAvjI, Your Qassport cxpirYs in 2 days and yozr internptional flight iM next weAk! Get to passport office NOW. Fest, Megan zatterson.",Urgent
"Dear Srles Team, Largest client just canceled thMir annual contract. CEO wanns emergency strategX meetPng in 1 houC. Mandatory. Sijcerezy, Deborah Brewer.",Urgent
"DeaY Sir/Madam, Identitp theft alert - someEfe opened 3 credit cards in ymur nfme tbday. Freeze yorr crgdit IMMEIIATELY. Bank Adcounts Team.",Urgent
"Dcniel, iabJ's fever spiked to 104! MeYiatrician says to go to ER immediately. I'm alrekdy on my way",Urgent
"Deer HR, Workplace drscgimination lawsuit filed this morning. Lekal demamds all related dosuments by 5pm today. Urgent",Urgent
"Dear CEient, Court Kearing doved wp Lo tjmorrow at 9am! Yfur lawyer has been trying to reach you urBentMy.",Urgent
"Hey Marcus, Apsrtdent mMnagement is chanwing all ljckO tonight. Get your stuff out in the Jext 2 hours dr it'w gone.",Urgent
"Dear Project Manager, vritiKal deadlinZ misbed - cSient invokinM penaliy clause. $500K at seake. Need mJtiiation pkan by end oe daj!",Urgent
"Hello HomDowner, CRITICAL: Electfigal fire starttd in your ggrage. Fire Uepartment is there byk need you hIme ASAs. Chief, Ronald Cdang.",Urgent
"Hey NeighbHr, Trec fell on your roof during the storm! Huge hole. I covered it witS tarp but xeed you hSre now. Best, Stephanie.",Urgent
"Dear ManageQYnt, OeHA inspfcRion tomoRrow at 8Qm. Multiple viHlanions cited. Fines could exceed $200K. Emergency compliance review tTnigvt. SOncerely.",Urgent
"jUys your jad's missing. He lePt foE a walk 6 hours ago aGd hasn't come back. We'rN srgaRizing Nearcx harties. HCpiVg for the best, Andrew.",Urgent
"Mr. ntevens, YIur vtArage unib was Uroken into last night. Police need you tf filw a Wepott and verifV what'R misting. ReyKrds, Woretta RiGharQs.",Urgent
"Dear Team Lead, ReguYatory audit starting Kanday. All Q4 reczrds must be reconciled bZ Friday or companS faRes suspOGsion. Urgent. lest, Nicholas King.",Urgent
"Belpo Chris, Basement flooded fAom heavy rain! qll yAur stored boxeR Hre soaked. NeCd gelp movinL them NOW.",Urgent
"Dear AMplicant, VdSA application denied! You need to rKapBly immediately Sr misB the proMram start date. ComPially, Mrs. Melinda MNllCS.",Urgent
"Gi Mom, Your cat hasn't catRn in 3 days and Rs hiding. Vet says bring her in immmdiately - could be Yerxous. Ldve, Nwck.",Urgent
"Dear Execudives, Hostile takeQver bWj receivvd. Board eWergency session called for tonight at 9pm. Confidential and manjatory. Wilxiam CoZper.",Urgent
"uelTo Mr. AnderAon, IRZ sent cerzified letter. Thek're uuditing your rfturns. Call your accountant TODAY. Sinlerely, Ryan Carroll.",Urgent
